,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
BR,7,98.35,22.77,-2.0,0.5714285714285714,12.155347482038028,212.85714285714286
BF.B,0,0.0,0.0,0.0,0.0,0.0,212.85714285714286
CHRW,9,0.37,8.77,-4.0,0.3333333333333333,0.256511270956413,105.88888888888889
COG,16,-43.45,5.0,-4.0,0.0625,-3.4375000000000036,34.3125
CDNS,11,144.35,18.56,-4.57,0.6363636363636364,10.14780375044096,127.71428571428571
CPB,10,-9.39,11.12,-3.75,0.2,-0.7767898081802187,86.2
COF,12,1.21,7.11,-4.56,0.4166666666666667,0.3027831342543905,70.27272727272727
CAH,9,-23.94,5.0,-5.14,0.2222222222222222,-2.8888888888888924,37.77777777777778
KMX,10,13.44,7.06,-4.14,0.5,1.46304283629728,82.14285714285714
CCL,9,-25.55,10.9,-4.82,0.1111111111111111,-3.068981549850017,114.375
CARR,1,46.97,46.97,0.0,1.0,46.97241085965737,201.0
CAT,9,73.02,32.06,-4.0,0.3333333333333333,8.020385646668093,129.0
CBOE,12,12.61,19.35,-4.0,0.25,1.8380676003161929,47.5
CBRE,11,15.95,11.04,-3.62,0.36363636363636365,1.7113762511522164,93.875
CDW,14,35.97,5.63,-2.09,0.5714285714285714,2.318069332297272,90.0
CE,9,49.94,22.54,-3.0,0.3333333333333333,5.513439824963978,139.44444444444446
CNC,13,19.81,5.22,-1.73,0.46153846153846156,1.4802560959692483,34.63636363636363
CNP,4,47.87,27.41,-3.0,0.5,12.204778314281612,402.5
CTL,0,0.0,0.0,0.0,0.0,0.0,402.5
CERN,8,26.9,7.28,-3.63,0.625,3.1893700370355624,81.16666666666667
CF,13,43.65,11.53,-3.43,0.46153846153846156,3.474149547582962,53.76923076923077
SCHW,6,110.21,23.71,-3.0,0.6666666666666666,14.807219442890307,182.66666666666666
CHTR,10,57.13,17.05,-4.92,0.5,6.06653527027336,132.85714285714286
CVX,9,-0.4,6.67,-3.19,0.3333333333333333,0.0977215500696409,68.125
CMG,12,52.56,11.72,-5.77,0.5833333333333334,4.429763459325043,36.6
CB,6,31.36,8.75,-3.0,0.6666666666666666,4.8314640885637745,213.33333333333334
CHD,7,6.12,4.72,-4.0,0.5714285714285714,0.9854054679845159,103.2
CI,12,4.72,9.91,-5.68,0.4166666666666667,0.8158929130352015,67.0
CINF,6,50.68,70.53,-2.4,0.16666666666666666,9.754618753746671,272.6666666666667
CTAS,6,117.9,40.56,-4.33,0.5,18.1110552375354,300.0
CSCO,8,32.5,21.42,-4.95,0.375,4.939062903812331,175.14285714285714
C,8,25.9,15.41,-3.6,0.375,3.52980954126412,147.0
CFG,9,31.04,36.16,-4.29,0.2222222222222222,4.702817001420197,124.88888888888889
CTXS,13,7.58,6.63,-4.3,0.46153846153846156,0.7432952997543372,84.9090909090909
CME,6,66.52,30.62,-6.0,0.5,12.308084179062483,253.33333333333334
CMS,4,54.55,74.91,-4.0,0.25,15.72683211074387,430.5
KO,8,19.97,5.0,-2.0,0.625,2.3750000000000018,153.625
CTSH,8,8.28,21.96,-5.0,0.25,1.7402378822946067,137.125
CL,9,-13.25,5.74,-5.0,0.3333333333333333,-1.4208554470526225,115.55555555555556
CMCSA,11,5.29,6.15,-2.58,0.36363636363636365,0.5934301032390861,110.44444444444444
CMA,11,46.03,23.8,-5.14,0.36363636363636365,5.383169254222468,99.0
CAG,13,-29.43,5.0,-4.8,0.23076923076923078,-2.538461538461542,66.3076923076923
CXO,14,-7.15,5.11,-4.5,0.42857142857142855,-0.38144190827754576,25.428571428571427
COP,8,13.25,6.43,-3.0,0.5,1.7149927005588554,65.5
ED,8,5.53,8.33,-3.6,0.375,0.8750000000000018,145.25
STZ,10,8.67,6.98,-3.0,0.4,0.9908620437423092,132.0
CPRT,4,400.27,81.03,0.0,0.75,60.770063764908144,393.6666666666667
GLW,10,12.33,11.55,-5.0,0.4,1.6212941846320845,120.8
CTVA,3,21.97,10.68,0.0,0.6666666666666666,7.118285583574708,53.0
COST,4,142.13,43.21,0.0,0.75,32.40404153225482,374.5
COTY,12,3.79,20.81,-5.33,0.25,1.2013112808103745,32.0
CCI,7,25.17,33.72,-6.0,0.2857142857142857,5.347929044835182,224.14285714285714
CSX,6,139.51,47.72,-4.02,0.5,21.850175190986878,237.8
CMI,11,39.59,12.79,-4.0,0.45454545454545453,3.633855923157223,116.6
CVS,11,-18.0,7.87,-3.77,0.18181818181818182,-1.6513808471157039,48.36363636363637
DHI,10,48.69,17.08,-3.4,0.4,4.793901317609162,89.0
DHR,5,238.13,105.51,-4.04,0.4,39.78009828426444,141.66666666666666
DRI,8,43.26,34.67,-3.0,0.25,6.417030632546812,36.5
DVA,14,-27.14,13.48,-6.0,0.21428571428571427,-1.8266534828609204,39.57142857142857
DE,11,92.34,67.1,-4.0,0.18181818181818182,8.926606994038808,101.54545454545455
DAL,13,-19.44,6.37,-3.87,0.23076923076923078,-1.5092013494030183,48.1
XRAY,11,-15.47,15.22,-4.77,0.18181818181818182,-1.1389985775508333,89.0
DVN,12,14.44,12.43,-3.75,0.3333333333333333,1.6418465549665657,35.083333333333336
DXCM,15,83.17,19.39,-6.09,0.4666666666666667,5.798399942903693,30.6
FANG,13,-23.44,8.0,-4.82,0.23076923076923078,-1.8630454334336983,50.75
DLR,11,14.22,16.58,-3.75,0.2727272727272727,1.7954200313154822,111.63636363636364
DFS,11,29.19,10.99,-4.11,0.45454545454545453,2.7512031822371634,77.0
DISCA,16,-14.16,73.33,-4.54,0.0625,0.3287610201332525,33.4
DISCK,15,-19.43,29.83,-5.21,0.13333333333333333,-0.5359866424687536,33.54545454545455
DISH,9,-18.52,7.5,-4.81,0.2222222222222222,-2.0726704083707883,57.285714285714285
DG,9,80.84,22.04,-2.4,0.4444444444444444,8.460157055467796,137.55555555555554
DLTR,13,-39.61,9.54,-5.97,0.15384615384615385,-3.586997041690105,41.625
D,10,-9.62,5.0,-3.43,0.3,-0.8999999999999999,98.0
DPZ,11,19.46,13.07,-4.29,0.36363636363636365,2.0262947089924372,140.5
DOV,12,9.18,5.82,-4.05,0.5,0.8835034296574875,107.7
DOW,4,3.1,5.0,-3.24,0.5,0.8784011228254203,40.333333333333336
DTE,4,33.49,24.5,-6.0,0.5,9.248877556431363,519.6666666666666
DUK,8,15.76,5.0,0.0,0.375,1.8750000000000018,128.625
DRE,7,39.54,68.63,-3.06,0.14285714285714285,7.179827724803154,238.0
DD,7,12.06,16.23,-3.62,0.2857142857142857,2.056292966243952,181.33333333333334
DXC,8,144.66,61.14,-4.06,0.375,20.392901616316678,158.0
ETFC,0,0.0,0.0,0.0,0.0,0.0,158.0
EMN,11,0.93,14.04,-4.54,0.2727272727272727,0.5261320674749714,101.5
ETN,11,36.63,9.44,-2.0,0.45454545454545453,3.2015919419980374,96.0909090909091
EBAY,11,29.34,9.19,-5.1,0.5454545454545454,2.6967148009230852,83.55555555555556
ECL,7,10.81,41.93,-4.0,0.14285714285714285,2.561773402944912,219.85714285714286
EIX,11,0.32,6.67,-2.3,0.2727272727272727,0.14519905907055808,93.0
EW,14,11.83,6.71,-2.28,0.35714285714285715,0.9266710701205654,49.75
EA,9,53.16,12.36,-3.02,0.5555555555555556,5.523924878792669,151.5
EMR,14,-6.33,5.0,-3.33,0.35714285714285715,-0.3571428571428572,67.42857142857143
ETR,8,41.31,10.99,-1.5,0.5,4.744709513247092,144.125
EOG,16,-32.87,5.0,-4.78,0.25,-2.3375914255431685,26.785714285714285
EFX,10,11.16,7.03,-1.35,0.3,1.1611481641396992,121.75
EQIX,13,29.6,13.8,-2.67,0.3076923076923077,2.399688963966599,111.53846153846153
EQR,11,-19.27,10.0,-3.0,0.09090909090909091,-1.8181818181818197,88.9090909090909
ESS,12,-17.24,5.0,-6.0,0.4166666666666667,-1.4166666666666679,81.16666666666667
EL,9,70.83,19.21,-2.4,0.4444444444444444,7.2023667079924145,141.77777777777777
RE,9,-2.26,7.95,-4.04,0.3333333333333333,-0.04432982151446829,123.125
EVRG,2,60.04,70.26,-6.0,0.5,32.12851936314567,813.0
ES,5,46.82,19.11,-6.0,0.6,9.06518205170962,276.6
EXC,5,33.93,7.62,0.0,0.8,6.093886246984584,311.5
EXPE,12,9.99,9.62,-3.17,0.3333333333333333,1.0922286268027932,39.9
EXPD,3,66.02,29.24,0.0,0.6666666666666666,19.49283577687664,174.0
EXR,17,-27.04,6.25,-4.15,0.23529411764705882,-1.705882352941176,56.8235294117647
XOM,9,-22.97,5.67,-5.14,0.2222222222222222,-2.739479065660506,73.11111111111111
FFIV,13,-3.05,15.11,-6.18,0.3076923076923077,0.3671735792221291,88.0
FB,12,42.75,8.44,-3.67,0.5833333333333334,3.395841386851733,111.14285714285714
