,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit
SNPS,9,56.78,20.7,-5.52,0.4444444444444444,6.134097043690322
TMUS,8,35.91,15.13,-6.03,0.5,4.551310164080232
TSLA,6,24.26,31.91,-7.76,0.3333333333333333,5.4673068824726085
TXN,7,34.86,18.64,-4.59,0.42857142857142855,5.365769498143138
TCOM,6,-22.21,4.46,-5.7,0.16666666666666666,-4.006635654239611
VRSN,7,37.75,21.55,-6.41,0.42857142857142855,5.572823680083991
VRSK,14,-11.98,8.3,-4.25,0.2857142857142857,-0.6667796344773769
VRTX,7,51.22,24.25,-4.63,0.42857142857142855,7.747181401991719
WBA,4,-16.43,0.0,-4.35,0.0,-4.350856947676802
WDAY,11,-19.28,10.14,-6.03,0.2727272727272727,-1.6225721903566623
XEL,8,44.29,14.86,-3.84,0.5,5.5093187445419005
XLNX,13,-22.68,6.09,-8.3,0.46153846153846156,-1.6597765748708073
ZM,4,54.05,32.28,-6.14,0.5,13.072275974492634
