,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
ROST,1.0,0.0,0.0,0.0,0.0,0.0,21.0
SGEN,1.0,0.0,0.0,0.0,0.0,0.0,24.0
SIRI,0.0,0.0,0.0,0.0,0.0,0.0,24.0
SWKS,3.0,3.19,9.77,-3.0,0.3333333333333333,1.2575072941669776,15.333333333333334
SPLK,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334
SBUX,1.0,5.0,5.0,0.0,1.0,5.000000000000004,79.0
SNPS,3.0,-1.3,5.0,-3.0,0.3333333333333333,-0.33333333333333415,20.333333333333332
TMUS,1.0,0.0,0.0,0.0,0.0,0.0,70.0
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,70.0
TXN,2.0,-6.0,0.0,-3.0,0.0,-3.000000000000008,40.5
TCOM,2.0,-11.64,0.0,-6.0,0.0,-6.000000000000005,15.0
VRSN,0.0,0.0,0.0,0.0,0.0,0.0,15.0
VRSK,0.0,0.0,0.0,0.0,0.0,0.0,15.0
VRTX,0.0,0.0,0.0,0.0,0.0,0.0,15.0
WBA,0.0,0.0,0.0,0.0,0.0,0.0,15.0
WDAY,0.0,0.0,0.0,0.0,0.0,0.0,15.0
XEL,1.0,0.0,0.0,0.0,0.0,0.0,35.0
XLNX,2.0,-6.23,0.0,-3.11,0.0,-3.114876024009833,45.0
ZM,0.0,0.0,0.0,0.0,0.0,0.0,45.0
